Company,TypeName,Inches,ScreenResolution,Cpu,Gpu,OpSys,TouchScreen,Ips,X_res,Y_res,ppi,Dedicated_Gpu,Ram_GB,Weight_kg,SSD,HHD,Storage_Type,Total_Storage_GB,Storage_Category,Price
MSI,MSI Claw,7,Full HD (1080p),Intel Core Ultra 7 155H,Intel Arc (8-Cores),Windows,1,1,1920,1080,314.7,1,16,0.68,1000,0,SSD Only,1000,Standard (512GB-1TB),1498.8
HP,HP EliteBook 6 G1q,14,1920 x 1200,Qualcomm Snapdragon X Plus X1P-42-100,Qualcomm Snapdragon X Elite Adreno GPU,Windows,1,1,1920,1200,161.73,1,32,1.43,1000,0,SSD Only,1000,Standard (512GB-1TB),1928.8
Lenovo,Lenovo IdeaPad 3i,15.6,Full HD (1080p),Intel Core i3-1115G4,Intel UHD Graphics Xe G4 (48EU),Windows,0,0,1920,1080,141.21,0,8,1.65,1000,0,SSD Only,1000,Standard (512GB-1TB),517
Lenovo,Lenovo IdeaPad 330S,14,"HD (720p, 768p, 900p)",Intel Pentium 4415U,Intel HD Graphics 610,Windows,0,0,1280,720,104.9,1,4,1.67,0,128,HDD Only,128,Minimal (< 256GB),1220
Apple,Apple MacBook Pro 13,13.3,2560 x 1600,Intel Core i5-1038NG7,Intel Iris Plus Graphics G7,macOS,1,1,2560,1600,226.98,0,16,1.4,512,0,SSD Only,512,Standard (512GB-1TB),1390.2
Microsoft,Microsoft Surface Pro 8,13,2880 x 1920,Intel Core i7-1185G7,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,2880,1920,266.26,0,16,0.89,512,0,SSD Only,512,Standard (512GB-1TB),1381.2
LG,LG gram 17,17,2560 x 1600,Intel Core i7-1360P,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,2560,1600,177.58,0,32,1.45,3000,0,SSD Only,3000,Very High (> 2TB),2318.8
HP,HP ENVY 17,17.3,Full HD (1080p),Intel Core i7-1355U,NVIDIA GeForce RTX 3050 (Laptop),Windows,1,1,1920,1080,127.34,1,64,2.49,1000,0,SSD Only,1000,Standard (512GB-1TB),2667.8
Samsung,Samsung Galaxy Book4 360,15.6,Full HD (1080p),Intel Core 7 150U,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1080,141.21,0,16,1.46,4000,0,SSD Only,4000,Very High (> 2TB),2056.8
Apple,Apple MacBook Air 13,13.6,2560 x 1664,Apple M2 (10-core CPU),Apple M2 GPU (10-core),macOS,1,1,2560,1664,224.51,1,8,1.24,256,0,SSD Only,256,Basic (256-512GB),1288
ASUS,ASUS Vivobook 16,16,1920 x 1200,Intel Core i7-1355U,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1200,141.51,0,24,1.88,1000,0,SSD Only,1000,Standard (512GB-1TB),1628.8
Acer,Acer Aspire Go 15,15.6,Full HD (1080p),AMD Ryzen 5 7520U,AMD Radeon 610M,Windows,0,0,1920,1080,141.21,1,8,1.73,512,0,SSD Only,512,Standard (512GB-1TB),1399.2
Acer,Acer TravelMate P2,15.6,Full HD (1080p),Intel Core Ultra 5 115U,Intel Graphics (4-Cores),Windows,1,1,1920,1080,141.21,0,16,1.63,512,0,SSD Only,512,Standard (512GB-1TB),1359.2
HP,HP 15,15.6,Full HD (1080p),Intel Core i3-1215U,"Intel UHD Graphics (Alder Lake, 64EU)",Windows,0,0,1920,1080,141.21,0,32,1.7,2000,0,SSD Only,2000,High (1-2TB),1976.8
ASUS,ASUS Vivobook 14,14,Full HD (1080p),Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,0,0,1920,1080,157.35,0,24,1.4,2000,0,SSD Only,2000,High (1-2TB),1868.8
Lenovo,Lenovo ThinkPad X1 2-in-1 Gen 10 Aura Edition,14,1920 x 1200,Intel Core Ultra 7 255U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.22,512,0,SSD Only,512,Standard (512GB-1TB),1411.2
Dell,Dell Inspiron 15 3535,15.6,Full HD (1080p),AMD Ryzen 7 7730U,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",Windows,1,1,1920,1080,141.21,1,24,1.66,2000,0,SSD Only,2000,High (1-2TB),939
HP,HP ENVY 17,17.3,Full HD (1080p),Intel Core i7-1355U,NVIDIA GeForce RTX 3050 (Laptop),Windows,1,1,1920,1080,127.34,1,32,2.49,4000,0,SSD Only,4000,Very High (> 2TB),2627.8
Dell,Dell Inspiron 15 3535,15.6,Full HD (1080p),AMD Ryzen 7 7730U,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",Windows,1,1,1920,1080,141.21,1,32,1.66,4000,0,SSD Only,4000,Very High (> 2TB),1269
HP,HP EliteBook 8 G1i,14,1920 x 1200,Intel Core Ultra 7 255U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.38,512,0,SSD Only,512,Standard (512GB-1TB),1411.2
